np      Solv    KSP     BJ      Solv    KSP     AM      Solv    KSP     AS
1	33.41	0.15	33.56	5.8	15.68	21.48	42.47	0.36	42.83
2	18.27	0.000	18.27	2.9	7	9.9	19.42	0.36	19.78
3	11.43	0.000	11.43	1.57	3.99	5.56	10.95	0.22	11.17
4	6.2	0.000	6.2	0.91	2.37	3.28	6.42	0.17	6.59
5	3.73	0.000	3.73	0.59	1.5	2.09	4.66	0.11	4.77
6	3.27	0.000	3.27	0.49	0.91	1.4	3.85	0.06	3.91
7	1.62	0.000	1.62	0.21	0.43	0.64	1.87	0.03	1.9
8	0.67	0.000	0.67	0.1	0.33	0.43	0.69	0.02	0.71
